static_ID,page_name,favorites,block,Ads_count,block_date,Facebook_ID,insta_followers,instgram_ID,Page_likes,profile_pic,country
105944632231137,belissimablend,0,0,2,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/310457119_835076117669944_5387152016115297134_n.jpg?stp=dst-jpg_s60x60&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=0uc_M8FvbA0AX_3qqpe&_nc_ht=scontent.fcai21-3.fna&oh=00_AT_-A2skfTwgL08-Xn31ORejCObhoAR7QL2bDGR2WP7ZTw&oe=63411281,ALL
101497692591517,nestor_parfum_,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/297372666_425421746370339_5971022646618021489_n.jpg?stp=dst-jpg_s60x60&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=aD3h_YH0FJgAX__0O8u&_nc_ht=scontent.fcai21-3.fna&oh=00_AT-2KKvuUoJgHAyaQFAO3hfv9VEZ2cQf71aV4Lt5E_a3kA&oe=6340BB48,ALL
104396602446790,perfumesStore,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/309148804_5504387239650588_4247804353509208023_n.jpg?stp=dst-jpg_s60x60&_nc_cat=105&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=VVHr0g4qeHQAX_RdwoY&tn=rI3k6TAasiqplOoy&_nc_ht=scontent.fcai21-3.fna&oh=00_AT-EWpbdQBKT2uxsralCQlSIK27OtF9-7Og2n5ZZBL3Ykw&oe=6341D08E,ALL
104484978591400,Nidore Parfums,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/310777205_2176382882541970_7825343180138933554_n.jpg?stp=dst-jpg_s60x60&_nc_cat=108&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=8mYsp_m4K60AX_Z9NUN&tn=rI3k6TAasiqplOoy&_nc_ht=scontent.fcai21-3.fna&oh=00_AT_kRultmRcOX7uIqgHXbPz2p8rGQWPNPrzd38ld5ThM3Q&oe=6340CC9D,ALL
778323628851527,LAURA HANA Florist,0,0,2,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/310385712_880559086656413_1068721829183704992_n.jpg?stp=dst-jpg_s60x60&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=1ht0awxU2bAAX_s9kvT&_nc_ht=scontent.fcai21-3.fna&oh=00_AT-M7i7OoCIdJzDT340v6WXGEHSMu2QsVAosKZdkaG4ZYg&oe=6341B991,ALL
109845697263327,EP Consultor,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/309377449_769915450770504_8836305755930865693_n.jpg?stp=dst-jpg_s60x60&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=RaAoMVsFjKMAX9_TxVx&tn=rI3k6TAasiqplOoy&_nc_ht=scontent.fcai21-4.fna&oh=00_AT_fGfOx8Xzd0pUCdK7h_mND3CnyLpIHp0fc6pALExJlAg&oe=6341066F,ALL
100154432044067,Macbancy Perfumes,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310336915_5382233995206239_8242227171501111537_n.jpg?stp=dst-jpg_s60x60&_nc_cat=104&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=3IaF1-DH170AX9eYk3d&tn=rI3k6TAasiqplOoy&_nc_ht=scontent.fcai21-4.fna&oh=00_AT-bxuQVcnEAfAy0-tbHfEIZSmwbKMt5qMP5vnxMR-W1ZQ&oe=63421405,ALL
396249064123194,Parys Perfume,0,0,2,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/309625089_497111005338336_5177136808790354656_n.jpg?stp=dst-jpg_s60x60&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=NiPhUc0YatYAX9diSJ4&_nc_ht=scontent.fcai21-4.fna&oh=00_AT_CPTYP461bBDtiWnkzFXwSup5vEyQpB8DHpF5uwuyMqA&oe=634201B6,ALL
106812418168587,𝙈𝙞𝙧𝙚𝙡𝙡𝙖 𝙋𝙚𝙧𝙛𝙪𝙢𝙖𝙧𝙞𝙖 261,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,,ALL
123108321705664,Floral Street,0,0,20,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/310248628_801902194192090_8254536751882735303_n.jpg?stp=dst-jpg_s60x60&_nc_cat=110&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=CXQZjnfGbnsAX8vg6hv&_nc_ht=scontent.fcai21-3.fna&oh=00_AT-dDPO9Xo4rWb3Me5VgeMT08FhtPfDOWvEk_HXTJ8bQUw&oe=63420454,ALL
110370548153277,Cee_fragrance,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/298104380_1940926566100644_4666398305641344031_n.jpg?stp=dst-jpg_s60x60&_nc_cat=102&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=1tbBoCNNZTMAX_Xm2Ya&_nc_ht=scontent.fcai21-4.fna&oh=00_AT-NuW_goZvvLaYeOWT4_nQbiUM8PvF-a3CyIeqH34yy2g&oe=6340AE96,ALL
105399172301057,Sundazee Pheromone,0,0,21,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310443236_656748346027987_923444885281053575_n.jpg?stp=dst-jpg_s60x60&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=jU2KwAYZVzoAX9z1UX0&tn=LctBbIoKMKUsgOnx&_nc_ht=scontent.fcai21-4.fna&oh=00_AT-T9S8S03diE3XcWq4uwuSGUDTuBlostfkjbJbDEttc-w&oe=63425C60,ALL
115641169134044,Blessed Shopping,0,0,5,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/309848879_1069775700353024_3275353405518186111_n.jpg?stp=dst-jpg_s60x60&_nc_cat=103&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=Ej5SYtEfs3MAX9V3m_3&_nc_ht=scontent.fcai21-4.fna&oh=00_AT8Ef9LH6NMNrWnFZjsBTfmrP9JjBsDEThU8nicmAKfOMA&oe=6342085A,ALL
105268084615212,aguadecheirojuazeiro,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310652404_1135012483888667_8761246024257237099_n.jpg?stp=dst-jpg_s60x60&_nc_cat=111&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=YArGfkCw4DsAX-TxC8C&_nc_oc=AQnk5UdSCf_UWQ8oFMsS79Ri8SNQ__AJhDByDqWdEtPlJ0NmSYkjud8CHjB-FcS6wIQ&_nc_ht=scontent.fcai21-4.fna&oh=00_AT-zLZWEizZznQXyRjhdjoysLsK55Eydi2qZzxN64EaCAA&oe=6340830F,ALL
106720551418841,Amaro Digital,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310560480_916064579781269_7115834803286200694_n.jpg?stp=dst-jpg_s60x60&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=j4ZvteeNF0AAX83XHXi&_nc_ht=scontent.fcai21-4.fna&oh=00_AT8E2CpY1yKlCUX54k7MdaaatiC50CbJ-doiOsFeaFV0XA&oe=63404F02,ALL
106040995493743,melinda_perfumaria,0,0,1,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310536733_1573154499821363_1020633474476737421_n.jpg?stp=dst-jpg_s60x60&_nc_cat=109&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=ZS9u_mOvTDcAX8ASZzI&_nc_ht=scontent.fcai21-4.fna&oh=00_AT9xSSUV3atxE_iVGN0Ns20KlWWEVelhQnA4xN2mbFVzWg&oe=6341660F,ALL
103760028075745,modasnanda_ofc,0,0,3,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-3.fna.fbcdn.net/v/t39.35426-6/306729810_651374586181312_4698760046634933070_n.jpg?stp=dst-jpg_s60x60&_nc_cat=107&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=XCtfrbRugqwAX-S9j43&_nc_ht=scontent.fcai21-3.fna&oh=00_AT-SOTZlTtQpsdt27DJQaK3llDBSxs68Knkrj_X_XtOX4g&oe=63419F5F,ALL
106599042198560,Conteúdo fechado Paizão,0,0,6,,NO Facebook ID found,0,NO insta ID found,0,https://scontent.fcai21-4.fna.fbcdn.net/v/t39.35426-6/310252800_596819062126538_7950106840329056136_n.jpg?stp=dst-jpg_s60x60&_nc_cat=101&ccb=1-7&_nc_sid=cf96c8&_nc_ohc=nVcZGe5xa0YAX8jjC_a&_nc_ht=scontent.fcai21-4.fna&oh=00_AT_LhJ6RtZsELyTbRSAmxDzPPdQZuRyRoZaRV4fS-aViCQ&oe=6340BED7,ALL
